Timestamp,"In 2021, how much money did you typically receive per hour of time spent on freelance mapmaking work?","In 2021, what was the *highest* amount a client paid per hour of your time for a freelance mapping project?","In 2021, what was the *lowest* amount a client paid per hour of your time for a freelance mapping project?",Do you feel that you are generally paid fairly for your time when doing freelance mapping?,"In 2021, how much did you depend on your freelance cartography income?","In 2021, what percentage of your personal income came from freelance mapping work?","Do you charge by the hour, or a flat rate for each project?",Do you sign a written contract before beginning a project?,How do you typically find clients?,Has the COVID-19 pandemic affected your freelancing? How?,Static Maps: Hand-Drawn,Static Maps: Digital,Interactive or Dynamic Maps: Off-the-shelf,Interactive or Dynamic Maps: Custom Coded,Have you given yourself a raise in the last two years?,"If so, how much more *per hour* do you typically earn for mapping work when compared to two years ago?","Do you have a scheme, plan or interval that determines when you give yourself a raise?",How do you determine when to raise your rate?,What gender do you identify as?,List any map-related degrees or certifications you hold (select all that apply),What's your experience level? ,Did the results from previous versions of this survey influence your business practices or rates?,"If you answered ""Yes"" above, please optionally indicate how previous surveys influenced you.",How often should we do this survey?,Please feel free to add additional notes/comments about your freelance rates and business practices.
2/22/2022 9:21:22,44,65,44,2,1,15,1,4,Word of mouth,,,44,,,Yes,6,No,Clients actually prompted me to raise rates,Male,,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
2/22/2022 9:28:39,100,125,85,5,5,100,3,3,"Repeat business from past clients, Word of mouth (most important) from other clients and my website",No,0,100,125,125,Yes,15,Yes,I raise my rates annually,Male,"Master’s degree in cartography/GIS/geography, GISP certification, I am an ex-GISP. Had it for 13 years and dropped it because it was useless.",Expert (equivalent to 20+ years of full-time mapmaking work),No,,Annually,I have been a full time free lance GIS professional for over 12 years. 
2/22/2022 12:21:14,10,,,3,1,,4,3,Referrals from other mappers,,,10,,,No,,,,,,,I didn't see the previous survey results,,Every 6 months,
2/22/2022 12:37:41,35,45,30,3,2,25,3,2,"Referrals from other mappers, Repeat business from past clients",,,40,40,40,Yes,10,No,,Male,Bachelor’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,
2/22/2022 13:05:44,165,185,150,5,5,100,1,2,Repeat business from past clients,,,,,100,Yes,35,No,,Female,,Expert (equivalent to 20+ years of full-time mapmaking work),No,,Annually,
2/22/2022 13:16:52,100,150,50,4,2,15,2,4,"Referrals from other mappers, Repeat business from past clients, Social media","Less projects, more maps. More institutional clients. ",,100,100,,Yes,50,No,Seeing how much other consultants are being paid ,Male,"Self-taught cartography and geography, Masters degree in Anthropology ",Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,Annually,
2/22/2022 17:01:59,26.5,28,25,4,5,50,1,2,"Repeat business from past clients, Word of mouth from current clients",No,,26.5,,,No,,Yes,"Increase in overall skill, faster time per project completion, and overall years of experience I have ",Male,Bachelor’s in Earth & Environmental Sciences,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,"At this time I have been free lancing for a couple of months and I figure that I should set my rate low now so that I can get experience and get more clients. I will tend to keep my rates low for non-profits as they are trying to save money and will give you more if they see that you work well. Seems like non-profits need me to hold data so I’m thinking about charging for that. 

Looking at getting a GISP or masters in GIS/ remote sensing but I am uncertain. I think it is important for GIS/Remote sensing/geospatial freelancers to share data, help others, and be a tight community. (I try to help on a GIS discord server)"
2/22/2022 22:01:28,32.5,32.5,5.4,4,1,10,3,5,"Repeat business from past clients, Telling everyone I meet I make maps so they think of me when they want a map","Didn’t really change things for me! If anything I feel that more friends were interested in getting a map for their place than usual, but I don’t know if this was driven by lockdowns or just a general, industry-wide trend",N/A,32.5,N/A,N/A,Yes,3.61,No,When I encounter a significant increase in business cost or determine my maps are worth more (e.g. when I gain a formal qualification),Male,Bachelor’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,"I use hourly rates when creating a suite of products for an established entity with significant revenue. When making individual maps for specific clients, I charge per project at a significantly lower rate. This is also reflecting that I enjoy the kinds of individual maps more, and so are willing to do them for a much lower cost "
2/22/2022 23:58:41,30,45,30,1,1,35,3,2,Referrals from other mappers,No - I was not mapping before covid-19,,30,,45,,,,"I have only been mapping for one year, but I would increase my rates once I have become a lot quicker in my work. At the moment, I charge low rates because I spend a lot of time researching and working out how to do/build/create what the client wants. As I improve and become quicker, I'll charge more for my time. ",Female,Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I didn't see the previous survey results,,Annually,"When I was first setting my rates, I asked a friend who is a webmap developer what his rates are. He is extremely experienced, and so I used his rates as a benchmark. I also worked out what casual professional rates are for comparable industries (graphic design, University research assistant) to help guide me. Please note my rates are in AUD. "
2/23/2022 9:01:44,125,150,100,4,1,30,3,1,"Referrals from other mappers, Repeat business from past clients",No change other than any travel that may have occured for research or client meetings didn't happen. ,,125,,,Yes,25,Yes,"It's based upon my day job income, my freelance rate needs to exceeded my pretax/benefit salary to make it worthwhile. As my normal income has rising so has my rate. ",Male,Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,I think it's helpful to see others numbers and trends. ,Annually,
