Timestamp,"In the last five years, what's the highest hourly rate (in USD) you've charged a client?","In the last five years, what's the lowest hourly rate (in USD) you've charged a client?","What would you say is your current average hourly rate (again, in USD)?",Do you feel that you are generally paid fairly for your time?,"Do you usually prefer to charge by the hour, or a flat rate for each project?",Do you generally sign a contract before beginning a project?,Please feel free to add additional notes/comments here about your freelance charges.,May we share your comments when publishing the results of this survey?,"How many years have you been earning money from mapmaking, either as a freelancer or otherwise?",What gender do you identify as?,In what year were you born?,In what country do you reside?,Do you consider your cartographic freelance work to be a full-time or part-time profession?,List any map-related degrees or certifications you hold
3/2/2018 13:39:44,95,75,95,4,Hourly,Yes,,Yes,15,Female,1969,United States,Full time,
3/5/2018 5:12:02,30,20,25,4,Flat rate,Yes,Most of consulting work for development projects are monthly based or daily base,Yes,15,Male,1976,Vietnam,Part time,Ph.D. cartography/GIS/geography
3/6/2018 17:03:43,200,35,150,5,A fairly even mix of both,Sometimes,,No,15,Male,1980,United States,Part time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography"
3/5/2018 11:14:33,100,50,85,3,A fairly even mix of both,Sometimes,I usually charge an hourly rate coupled with a not-to-exceed cost. That way the client has some confidence they will not be surprised with an exorbitant bill at the end.,Yes,15,Male,1959,United States,Full time,"Master's degree in cartography/GIS/geography, AICP (certified planner)"
3/8/2018 17:19:04,100,55,75,3,A fairly even mix of both,Yes,,No,15,Male,,United States,Part time,
3/2/2018 12:15:53,140,62.5,125,4,Hourly,Yes,,Yes,15,Male,1979,United States,Part time,Bachelor's degree in cartography/GIS/geography
3/6/2018 12:25:38,,,,,Flat rate,,"I've only used one online visualization graphic design site/service (I'll omit their name) to, in the past, accept freelance work. Generally the project requests ranged from $800 - $1,200 per. The service adeptly and promptly handled  brokering, invitation, communications, and payment. Project management was well defined, but the customers were, almost without exception, unclear in what turned out to be their actual goals, which tended to be quite different than those described in the project invitation. I suspect it is a combination of (at least) two factors...
1. Maps are more of an analytical domain than the typical graphic design project involves. As such it can be really difficult to safely arrive at a mutual understanding without essentially making, then iterating, maps to show as a ""mockup"" while simple ""changes"" are full re-builds with variable effort. External examples were helpful, but I found the customers' mind's eyes were frequently quite different from cited examples in critical (and time consuming) ways.
2. I suspect the sort of organization that uses a brokering service like this is a risky (to a contractor) combination of A) too underfunded to fully engage with a firm or specialized employee, but B) ambitious enough to seek an outside service. This can create an environment of (understandably) entitled excellence but engaging in projects that are more specialized than they suspect.",Yes,15,Male,1978,United States,Part time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography"
3/2/2018 15:03:43,100,20,50,3,Flat rate,No,"My rates above are determined dividing my flat rate by the hours I worked. These hours did not include time emailing, forming the estimate, creating the invoice, etc - just the time spent creating the map.",Yes,16,Female,1977,United States,Full time,"Bachelor's degree in cartography/GIS/geography, Master's degree in cartography/GIS/geography"
3/2/2018 18:56:53,70,50,60,4,Hourly,Sometimes,"Most of my work is GIS mapping and analysis, not necessarily a ""pretty"" single map",Yes,17,Male,1976,United States,Full time,"Other professional certification in cartography/GIS, Masters in Geosciences"
3/4/2018 10:55:54,130,25,75,2,Flat rate,Sometimes,"I usually charge a flat rate with an additional line in the estimate for changes beyond the first (or sometimes second) round of revision. Additional client revisions are billed at 100/hour. This helps client feel comfortable with estimated total. If they organize their materials and limit late changes, they save money. If they can't, at least I'm paid fairly. I don't take projects for under 500. It isn't worth the overhead/startup time. Sometimes, however, the per-map fee is under 500 for simple grayscale maps, when bundled.",Yes,18,Female,1967,United States,Full time,
